"","geo_name","output","employees","investments","year","t"
"15832","Estonia",505.4,3.08,323.8,2018,24
"15833","United Kingdom",23736,118.644,10274,2001,7
"15834","Italy",37976.6,197.5,23134.3,2014,20
"15835","Ireland",832.4,3.82,457.2,1997,3
"15836","Lithuania",198,11.11,84.2,2002,8
"15837","Portugal",2280,33.03,1453.9,2002,8
"15838","Malta",125,1.57,56.4,2009,15
"15839","Greece",1588.9,27.7,496.7,1996,2
"15840","Romania",14567.4,75,7648.8,2010,16
"15841","Greece",3603.3,25.6,1552.6,2017,23
"15842","Japan",10468939,394041.791259766,4031631,2004,10
"15843","Spain",17324,121.6,10778,2004,10
"15844","Japan",10545148,471750.744140625,4046388,2011,17
"15845","Hungary",385614,48.31,199583,2004,10
"15846","Romania",5565.8,77.2,2722.7,2008,14
"15847","Latvia",463.7,7.31,246.9,2018,24
"15848","Sweden",20832,16,11851,1995,1
"15849","Cyprus",303.2,2.54,166.5,2020,26
"15850","Slovenia",1193,9.54,855.4,2017,23
"15851","Estonia",479.7,3.12,303.3,2017,23
"15852","Hungary",682410,46.08,379844,2016,22
"15853","Czechia",117529,57.71,74309,2014,20
"15854","France",22659.4,112,13804.6,2001,7
"15855","Romania",2512.1,84.8,1400.2,2004,10
"15856","Spain",18693,129.9,11589,2005,11
"15857","Slovakia",1123.4,22.77,463.5,2009,15
"15858","Latvia",200.2,7.5,121.7,2005,11
"15859","Germany",77223,284,42771,2020,26
"15860","Estonia",377.9,2.98,242.9,2011,17
"15861","Lithuania",281.3,12.79,143.4,2004,10
"15862","Bulgaria",1710.9,37.27,767.5,2016,22
"15863","Croatia",940.4,27.43,411.4,2012,18
"15864","Greece",3971,26.2,1577.1,2012,18
"15865","Spain",31526,198.5,18983,2020,26
"15866","Sweden",60276,25,39328,2013,19
"15867","Cyprus",276.8,2.4,169.3,2010,16
"15868","Latvia",147.9,6.32,73.7,1999,5
"15869","Romania",133.1,82.4,74.3,1996,2
"15870","United Kingdom",45720,173.01,21065,2020,26
"15871","Cyprus",274.9,2.63,142.1,2015,21
"15872","Germany",34292,246,16130,1998,4
"15873","Luxembourg",346.5,2.43,193.3,2008,14
"15874","Estonia",598.3,3.34,398.7,2019,25
"15875","Spain",15753,108.4,9837,2002,8
"15876","Italy",38355.9,200,23420.3,2015,21
"15877","Ireland",1045.8,4,574.2,1998,4
"15878","Lithuania",229.1,12.1,103.4,2003,9
"15879","Lithuania",440.8,10.33,217.9,2010,16
"15880","Malta",135.3,1.39,68.5,2010,16
"15881","Greece",1721.5,27.4,521,1997,3
"15882","Romania",18018.1,79.1,10027,2011,17
"15883","Greece",3602.4,25.2,1567,2018,24
"15884","Ireland",2657.4,10.05,1452.9,2017,23
"15885","Japan",10681506,462354.297119141,4170685,2012,18
"15886","Hungary",444481,51.67,232188,2005,11
"15887","Czechia",40464,54.01,22954,1996,2
"15888","Latvia",489.7,7.35,260,2019,25
"15889","Sweden",22064,15,12359,1996,2
"15890","Cyprus",378.3,2.65,225.1,2021,27
"15891","Ireland",1127,4.65,619.8,1999,5
"15892","Croatia",994.9,24.46,430.7,2014,20
"15893","Lithuania",636.2,11.96,280.1,2011,17
"15894","Malta",145.2,1.54,78.3,2011,17
"15895","Czechia",116232,57.61,72650,2015,21
"15896","Romania",15379.2,83.7,9823,2012,18
"15897","Greece",3749.2,25.1,1638.6,2019,25
"15898","Ireland",2653.6,11.23,1340,2018,24
"15899","Slovakia",1143.9,22.2,465.7,2010,16
"15900","Greece",4025.4,29.6,1528.7,2010,16
"15901","Latvia",233.8,7.2,138,2006,12
"15902","Latvia",492,7.26,254,2020,26
"15903","Germany",86165,286,51285,2021,27
"15904","Estonia",389.1,3.19,250,2012,18
"15905","Lithuania",285.2,13.34,142.9,2005,11
"15906","Croatia",945.8,26.91,421.1,2013,19
"15907","Greece",4229.6,26.2,1800.6,2013,19
"15908","Spain",34579,209.7,21062,2021,27
"15909","Sweden",62556,26,41958,2014,20
"15910","Cyprus",334.3,2.42,216.5,2011,17
"15911","Italy",45466.7,220.7,28406.9,2020,26
"15912","Romania",344.7,83.8,185.1,1997,3
"15913","United Kingdom",49608,186.573,22964,2021,27
"15914","Latvia",493.8,6.8,249.1,2021,27
"15915","Cyprus",285.5,2.66,147.2,2016,22
"15916","Germany",35362,246,16977,1999,5
"15917","Estonia",394.3,3.02,261.6,2013,19
"15918","Luxembourg",351.1,2.56,185.8,2009,15
"15919","Lithuania",317,10.15,162.6,2006,12
"15920","Spain",16391,117.1,10201,2003,9
"15921","Italy",39337.6,206.2,23428.4,2016,22
"15922","Ireland",2372.3,10.28,1490.6,2013,19
"15923","Greece",4219.7,26.6,1886.1,2014,20
"15924","Greece",1816.5,28.4,580.6,1998,4
"15925","Italy",52218.3,224.8,32859.1,2021,27
"15926","Romania",565,79.8,297.7,1998,4
"15927","Japan",10914744,457271.488769531,4336337,2013,19
"15928","Hungary",480793,52.36,252167,2006,12
"15929","Czechia",44463,53.98,25340,1997,3
"15930","Germany",47218,235,24823,2007,13
"15931","Croatia",1008.7,28.29,463.9,2017,23
"15932","Lithuania",393.1,10.33,206,2007,13
"15933","Czechia",32191,44.57,18410,1995,1
"15934","Ireland",1316.8,5.8,726.8,2000,6
"15935","Croatia",1004.5,31.89,435.3,2015,21
"15936","Romania",1537.9,71.8,772.8,2001,7
"15937","Malta",153.9,1.41,91.1,2012,18
"15938","Czechia",115150,58.06,70715,2016,22
"15939","Romania",15594,89.9,9716.8,2013,19
"15940","Greece",3338.7,25.2,1479.1,2020,26
"15941","Ireland",3062,11.86,1592.6,2019,25
"15942","Slovakia",1147.9,22.59,476.4,2011,17
"15943","Greece",3771,28.4,1449.7,2011,17
"15944","Latvia",334.9,7.98,200.1,2007,13
"15945","Germany",48440,239,24897,2008,14
"15946","Croatia",1077.2,31.06,521.4,2018,24
"15947","Denmark",14548.6,13.02,7894.2,1995,1
"15948","Italy",44296.9,214.6,27650.7,2018,24
"15949","Ireland",2185.1,10.54,1165.3,2015,21
"15950","Croatia",974.1,29.37,434.7,2016,22
"15951","Czechia",124663,58.87,77389,2017,23
"15952","Greece",3720.1,27.8,1498.8,2007,13
"15953","Romania",15754.4,95.2,9899.8,2014,20
"15954","Greece",3400.9,24.9,1614.6,2021,27
"15955","Sweden",68112,26,43954,2015,21
"15956","Cyprus",324.7,2.67,192.7,2012,18
"15957","Ireland",1499.2,10.99,752,2011,17
"15958","Czechia",51967,54.42,30415,1999,5
"15959","Greece",3394.2,28.2,1277.9,2005,11
"15960","Malta",68.6,2.18,36.1,1995,1
"15961","Denmark",14995.5,13.23,8226.8,1996,2
"15962","Germany",36372,248,17860,2000,6
"15963","Italy",45359.7,220.1,28401.1,2019,25
"15964","Ireland",2341,8.74,1262.4,2016,22
"15965","Hungary",614542,46.02,340452,2013,19
"15966","Czechia",120324,55.34,76273,2011,17
"15967","Italy",41702.7,209.2,25561.1,2017,23
"15968","Greece",3849.9,29.4,1384.9,2008,14
"15969","Ireland",2270,11,1317.7,2014,20
"15970","Greece",3692.6,26.1,1603.5,2015,21
"15971","Czechia",99494,54.95,58460,2009,15
"15972","Greece",2103.7,28.5,646.7,1999,5
"15973","Greece",3682.4,28,1427,2006,12
"15974","Hungary",550741,45.99,283315,2009,15
"15975","Romania",781.4,79,418.1,1999,5
"15976","Japan",11500533,452929.211914062,4677966,2014,20
"15977","Hungary",495403,47.76,254328,2007,13
"15978","Czechia",48520,54.24,27898,1998,4
"15979","Greece",3123.4,28.5,1104.6,2004,10
"15980","Ireland",1939.3,6.01,1130.4,2003,9
"15981","Lithuania",456.4,11.47,249.4,2008,14
"15982","Netherlands",3784,24,2023,1995,1
"15983","Ireland",1618.6,5.84,892.5,2001,7
"15984","Italy",20076.7,109.7,13532.3,1997,3
"15985","Romania",1854.9,76.5,982,2002,8
"15986","Malta",148.8,1.51,84.7,2013,19
"15987","Greece",2318.5,28.9,725.2,2000,6
"15988","Cyprus",282.4,2.58,150,2014,20
"15989","Hungary",580825,47.58,296085,2010,16
"15990","Romania",1150.3,72.1,613.8,2000,6
"15991","Ireland",2619.1,12.4,1230.9,2020,26
"15992","Japan",11920944,460507.542724609,4900154,2015,21
"15993","Hungary",522897,49.62,265979,2008,14
"15994","Germany",37150,243,18595,2002,8
"15995","Malta",202.8,1.61,118.1,2018,24
"15996","Ireland",1770,7.61,861.4,2004,10
"15997","Lithuania",375.3,11.62,177.5,2009,15
"15998","Malta",169.7,1.46,94.9,2016,22
"15999","Ireland",1719.1,6.27,947.4,2002,8
"16000","Italy",21189.5,117.5,13975.1,1998,4
"16001","Malta",233.9,1.77,140.5,2021,27
"16002","Czechia",132486,59.55,82020,2018,24
"16003","Italy",18796.6,105.6,12804.4,1996,2
"16004","Romania",13763.9,91.2,7691.4,2015,21
"16005","Spain",7266,75,4162,1995,1
"16006","Malta",225.6,1.62,138.7,2019,25
"16007","Cyprus",291.4,2.6,155.1,2013,19
"16008","Ireland",2209.6,8.18,1371.1,2012,18
"16009","Czechia",54966,50.92,33723,2000,6
"16010","Malta",218.8,1.73,132.5,2020,26
"16011","Malta",79.4,2.13,34.6,1996,2
"16012","Denmark",16371.4,12.96,9227.8,1997,3
"16013","Germany",36178,247,17799,2001,7
"16014","Malta",191.4,1.58,113.8,2017,23
"16015","Ireland",1648.7,11.17,755.5,2010,16
"16016","Hungary",620717,48.16,360918,2014,20
"16017","Czechia",117302,56.62,74680,2012,18
"16018","Malta",174.6,1.36,104,2015,21
"16019","Greece",4234.5,29.2,1567.3,2009,15
"16020","Italy",23875.4,137.8,16339.6,2000,6
"16021","Romania",13585.7,101.9,7287.9,2016,22
"16022","Czechia",109781,54.49,67535,2010,16
"16023","Spain",11785,95.4,7254,1999,5
"16024","Italy",17621,100.2,11799.6,1995,1
"16025","Japan",12617114,459537.889648438,5142923,2017,23
"16026","Malta",94.3,2.97,35.4,1997,3
"16027","Denmark",17563,12.69,10242.9,1998,4
"16028","Spain",14359,105.1,8985,2001,7
"16029","Ireland",3442,11.79,1700.4,2021,27
"16030","Japan",12180906,466589.079101562,4981116,2016,22
"16031","Germany",37816,236,18511,2003,9
"16032","Ireland",3046.9,11.06,1868.2,2009,15
"16033","Greece",2842,28.1,1010.5,2003,9
"16034","Romania",16166.4,106.8,9801.6,2017,23
"16035","Malta",162.1,1.45,94.7,2014,20
"16036","Greece",2430.7,28.7,783.8,2001,7
"16037","Italy",22723.3,129.1,15035.7,1999,5
"16038","Hungary",630761,45.63,338479,2011,17
"16039","Germany",42151,235,21023,2005,11
"16040","Greece",2758.6,29.7,1038,2002,8
"16041","Ireland",2244.8,9.79,1298.5,2005,11
"16042","Spain",8024,78.7,4549,1996,2
"16043","Czechia",97624,53.5,60572,2007,13
"16044","Spain",13167,102,8258,2000,6
"16045","Spain",10231,89.8,6101,1998,4
"16046","Czechia",62595,51.67,36972,2002,8
"16047","Hungary",620205,45.63,339283,2012,18
"16048","Germany",44791,232,23299,2006,12
"16049","Ireland",3446,12.62,2162.1,2008,14
"16050","Italy",25832.7,149.3,17615,2002,8
"16051","Ireland",2740.3,13.07,1584.5,2006,12
"16052","Czechia",56371,50.32,33796,2001,7
"16053","Germany",39635,237,19304,2004,10
"16054","Romania",21096.1,109.6,11635.5,2020,26
"16055","Czechia",105472,53.35,65671,2008,14
"16056","Romania",26188.9,116.2,14827.5,2021,27
"16057","Italy",24147.4,142.8,16572,2001,7
"16058","Romania",19542.5,117.2,10706,2019,25
"16059","Ireland",3364.6,13.88,2078.8,2007,13
"16060","Czechia",90392,50.41,55545,2006,12
"16061","Spain",9050,83.4,5272,1997,3
"16062","Czechia",78620,53.85,44312,2004,10
"16063","Romania",17391.6,108.8,9957.9,2018,24
"16064","Czechia",79794,51.6,46691,2005,11
"16065","Czechia",66338,49.87,39689,2003,9
"16066","Slovakia",2966.2,114.38,2091.9,1995,1
"16067","Slovakia",3974.9,122.74,2667.6,1996,2
"16068","Bulgaria",9026.4,154.97,6572,2005,11
"16069","Slovenia",8690.2,64.63,5921.1,2021,27
"16070","Croatia",2729.7,83.59,1741,1996,2
"16071","Bulgaria",4645.6,124.15,3082.7,2003,9
"16072","Sweden",200997,185,113396,2000,6
"16073","Slovenia",7309.2,60.85,4833.3,2019,25
"16074","Finland",25752,151.5,15848,2006,12
"16075","Croatia",5883.8,97.31,3999.4,2004,10
"16076","Slovenia",7319.3,62.41,4867.8,2020,26
"16077","Slovenia",6862.3,55.11,4634.4,2018,24
"16078","Slovakia",4774.1,120.03,3347.4,1997,3
"16079","Croatia",3309,78.53,2149.7,2001,7
"16080","Croatia",6579.4,101.13,4398.4,2005,11
"16081","Croatia",5389.2,93.07,3702.1,2003,9
"16082","Croatia",7823.6,111.33,5361.8,2006,12
"16083","Austria",47501.6,259.61,29000.7,2014,20
"16084","Bulgaria",7318.6,132.61,5556.3,2004,10
"16085","Slovenia",5875.9,51.4,3930.1,2017,23
"16086","Austria",57022.1,275.34,34938.1,2018,24
"16087","Slovakia",9834.4,91.18,4690.2,2013,19
"16088","Bulgaria",4374.7,122.23,2861.5,2002,8
"16089","Slovenia",3456.4,56.04,2396.1,2000,6
"16090","Croatia",3905.9,85.75,2632.8,2002,8
"16091","Croatia",2685.1,77.96,1721.8,2000,6
"16092","Sweden",187725,178,105142,1999,5
"16093","Slovakia",10785.9,93,4868.6,2012,18
"16094","Sweden",168982,165,96309,1997,3
"16095","Finland",29706,161.2,18666,2007,13
"16096","Sweden",220691,199,122812,2001,7
"16097","Croatia",9601.3,127.38,6554.7,2008,14
"16098","Bulgaria",12519,195.34,9357,2006,12
"16099","Sweden",230803,201,125900,2002,8
"16100","Croatia",3533.9,84.02,2306.6,1997,3
"16101","Slovenia",3266,52.95,2239.4,1999,5
"16102","Japan",77317244,5417798.75,41621516,2000,6
"16103","Bulgaria",3938.8,121.87,2489.2,2001,7
"16104","Japan",59503188,4571393,32424569,2007,13
"16105","Sweden",177658,169,100328,1998,4
"16106","Croatia",2224.8,83.77,1460.8,1995,1
"16107","Slovakia",11005.6,90.46,5568,2014,20
"16108","Slovakia",4883.8,113.27,3341.7,1998,4
"16109","Slovenia",5248.4,50.05,3488.5,2016,22
"16110","Austria",53882.7,269.04,33009.6,2017,23
"16111","Romania",121285.8,536.3,64556.4,2009,15
"16112","Bulgaria",17336.4,231.26,13072,2007,13
"16113","Croatia",8458.7,118.68,5728.9,2007,13
"16114","Austria",49535.8,258.89,30689.5,2015,21
"16115","Croatia",5632.6,92.51,3751.6,2017,23
"16116","Croatia",8747.1,114.84,5847.7,2021,27
"16117","Austria",60457.9,284.59,37508.1,2019,25
"16118","Lithuania",1938.1,83.51,987.3,1998,4
"16119","Hungary",605950,183.37,359427,1995,1
"16120","Japan",62855649,4626819.75,34148092,2006,12
"16121","Slovakia",4306.7,103.13,2812.2,1999,5
"16122","Belgium",53240.7,211.6,36553.2,2007,13
"16123","Croatia",7646.7,112.74,5084.7,2020,26
"16124","Netherlands",98743,300,68777,2017,23
"16125","Austria",50760.8,262.77,31107.4,2016,22
"16126","Japan",63269039,4661192.75,34491696,2005,11
"16127","Slovenia",3594.6,56.35,2470.4,2001,7
"16128","Austria",60408.2,286.35,36629.4,2020,26
"16129","Croatia",8373.3,124.08,5625.5,2009,15
"16130","Croatia",3194.6,82.61,1951.2,1998,4
"16131","Sweden",239052,200,128522,2003,9
"16132","Lithuania",1577.3,80.8,801.5,1997,3
"16133","Japan",73356708,5258623.25,39342818,2001,7
"16134","Slovenia",2465.9,49.5,1698.5,1997,3
"16135","Japan",57464954,4448418.625,31541513,2008,14
"16136","Finland",31826,167.3,20002,2008,14
"16137","Japan",79278074,5435375.75,42524134,1999,5
"16138","Bulgaria",3179,123.99,1919.2,2000,6
"16139","Croatia",7407.4,103.87,4941.9,2019,25
"16140","Netherlands",118281,321,82034,2019,25
"16141","Japan",66247183,4105250.875,35437967,2020,26
"16142","Romania",132962.1,482,89828.3,2010,16
"16143","Croatia",2980.9,83.64,1968,1999,5
"16144","Sweden",268002,199,145804,2004,10
"16145","Japan",68880321,5133770.25,36922286,2002,8
"16146","Slovenia",2625,49.27,1784.3,1998,4
"16147","Slovakia",13350.1,89.45,7481.1,2015,21
"16148","Finland",27579,153.3,16846,2009,15
"16149","Bulgaria",15592.3,197.58,10928.6,2010,16
"16150","Belgium",65813.4,209.5,46805.4,2014,20
"16151","Bulgaria",23037,270.52,17541.9,2008,14
"16152","Belgium",64824.9,219.9,45975.2,2012,18
"16153","Romania",125033.9,471.7,86357.9,2011,17
"16154","Croatia",6493.8,103.36,4357.3,2018,24
"16155","Netherlands",109261,310,76632,2018,24
"16156","Lithuania",1735.5,81.88,887.9,1999,5
"16157","Hungary",754577,182.78,475792,1996,2
"16158","Austria",65848.5,300.5,41317.2,2021,27
"16159","Slovakia",4723.6,93.88,3032.3,2000,6
"16160","Belgium",58152.2,217,40121.8,2008,14
"16161","Malta",671,7.49,333.6,2004,10
"16162","Belgium",49319.1,204,33962.7,2006,12
"16163","Belgium",64222.1,214.9,45508.6,2013,19
"16164","Slovenia",1637.9,49.21,1121.1,1995,1
"16165","Slovenia",3990.7,56.13,2801.3,2002,8
"16166","France",357822.7,1617.1,231831.6,2021,27
"16167","Croatia",6068.7,102.92,4015.6,2010,16
"16168","Slovenia",5525.4,50.05,3718,2014,20
"16169","Sweden",718818,343,421886,2020,26
"16170","Hungary",943749,185.89,574043,1997,3
"16171","Belgium",29684.8,187.5,19643.4,1995,1
"16172","Slovakia",5233.7,89.94,3407.4,2001,7
"16173","Croatia",5088.4,90,3407.9,2015,21
"16174","Japan",52928194,4269705.25,28004591,2009,15
"16175","Belgium",37201.7,190.6,25405.7,2000,6
"16176","Croatia",5094.1,85.63,3460.7,2013,19
"16177","Netherlands",122952,327,84286,2020,26
"16178","Japan",66681027,4027807.25,36524666,2021,27
"16179","Sweden",361114,234,198700,2007,13
"16180","Croatia",5842.5,95.04,3924.4,2011,17
"16181","Sweden",282027,205,156532,2005,11
"16182","Estonia",798.5,38.17,527.7,1999,5
"16183","Belgium",59001.7,217.5,41281.6,2010,16
"16184","Japan",65990944,5007597.75,35242021,2003,9
"16185","Slovakia",12678,91.42,6817.7,2016,22
"16186","Finland",28098,155.3,17374,2010,16
"16187","Bulgaria",15278.9,173.21,10798.7,2011,17
"16188","Belgium",67154.6,206.2,47860.6,2015,21
"16189","Italy",271873.9,1216.4,185408.5,2007,13
"16190","Bulgaria",20390.7,250.18,14313,2009,15
"16191","Romania",137096.3,495.4,90198,2012,18
"16192","France",195202,1352.4,124745.2,2002,8
"16193","Sweden",322318,216,178698,2006,12
"16194","Lithuania",1454.7,78.45,743.6,2000,6
"16195","Belgium",65288.9,220.2,46432.9,2011,17
"16196","Bulgaria",2485.4,138.19,1450.1,1998,4
"16197","Japan",65845408,4201041.25,35797366,2018,24
"16198","Slovakia",13915.3,95.41,7492.1,2017,23
"16199","Finland",29993,158.7,18925,2011,17
"16200","Belgium",57597.7,216.8,40043.3,2009,15
"16201","Malta",737.6,7.86,405.3,2005,11
"16202","Italy",275664.8,1225.9,186859,2008,14
"16203","Poland",53240,452.8,26828,1995,1
"16204","Lithuania",1338.5,80.66,744.9,1996,2
"16205","Slovenia",2069,49.46,1426.3,1996,2
"16206","Slovenia",4599.6,56.13,3252.2,2003,9
"16207","Belgium",32101.5,181.9,21734.6,1998,4
"16208","Slovenia",5434.6,50.48,3678.3,2015,21
"16209","Sweden",765157,350,448089,2021,27
"16210","Hungary",1043604,191.31,606840,1998,4
"16211","Belgium",29290,182.7,19520,1996,2
"16212","Slovakia",5691.3,92.41,3470.7,2002,8
"16213","Croatia",5353.7,92.14,3566.4,2016,22
"16214","Japan",50690310,4116189,27225665,2010,16
"16215","Belgium",38206.3,195.1,26176.9,2001,7
"16216","Croatia",4928.8,82.54,3315.7,2014,20
"16217","Netherlands",133525,334,92193,2021,27
"16218","Lithuania",1106.8,84.72,615.4,1995,1
"16219","Sweden",364884,251,204583,2008,14
"16220","Croatia",5396.5,87.56,3772.1,2012,18
"16221","Estonia",973.7,35.4,646.6,2000,6
"16222","Slovakia",5990.3,98.57,3653.7,2003,9
"16223","Japan",64121395,4808594.75,34313226,2004,10
"16224","Japan",52853505,4130134,29241871,2011,17
"16225","Bulgaria",15385.2,160.56,11194.9,2012,18
"16226","Belgium",69691.7,205.6,50013.3,2016,22
"16227","Slovenia",5648.4,57.01,4012.6,2005,11
"16228","Sweden",359372,250,193834,2009,15
"16229","Romania",122856.2,481,79458.6,2013,19
"16230","France",204235.2,1360.7,130209.4,2003,9
"16231","Estonia",1093.6,34.83,725.8,2001,7
"16232","Lithuania",1534.5,75.63,783,2001,7
"16233","Netherlands",73840,386,48722,2004,10
"16234","Bulgaria",2957.7,124.58,1720.6,1999,5
"16235","Japan",66943868,4184768.625,36509890,2019,25
"16236","Slovakia",15177.4,98.5,8516.1,2018,24
"16237","Finland",30634,156.8,19228,2012,18
"16238","Netherlands",72510,420,47740,2002,8
"16239","Latvia",4841.7,52.04,3673.4,2012,18
"16240","Malta",724.6,8.25,430.7,2006,12
"16241","Italy",255986.4,1187.7,171716.1,2009,15
"16242","Poland",68514,522.2,34740,1996,2
"16243","Denmark",201478.1,165.85,127896.8,2005,11
"16244","Slovenia",5073.1,55.44,3624.4,2004,10
"16245","Belgium",34935,185,23799,1999,5
"16246","Denmark",178805.2,154.7,112161.3,2003,9
"16247","Hungary",1210455,202.78,714424,1999,5
"16248","Belgium",31712.7,181.4,21515.8,1997,3
"16249","Hungary",2628409,225.64,1591681,2013,19
"16250","Malta",467.6,7.04,248,2000,6
"16251","Italy",216856.6,1073.3,147754.6,2003,9
"16252","Belgium",37296.4,194.9,25269.4,2002,8
"16253","France",150627.4,1192.4,95097.6,1998,4
"16254","Sweden",167287,178,95472,1995,1
"16255","Hungary",1411041,204.48,834498,2000,6
"16256","Slovakia",6792.9,93.04,4112.8,2004,10
"16257","Denmark",204167.2,162.82,127015.5,2009,15
"16258","Japan",53352843,4137177,29905291,2012,18
"16259","Bulgaria",12632.2,152.31,9257.4,2013,19
"16260","Belgium",72896.2,206.3,52746.3,2017,23
"16261","Slovenia",6787.1,60.74,4861.2,2006,12
"16262","Sweden",378831,252,206398,2010,16
"16263","Romania",105513.5,473.7,62865.4,2014,20
"16264","France",219263.5,1383.8,139680.7,2004,10
"16265","Estonia",478.8,37.33,316.3,1995,1
"16266","Estonia",1316.1,35.11,880.3,2002,8
"16267","Lithuania",1742.2,89.7,888.5,2002,8
"16268","Netherlands",77921,383,51439,2005,11
"16269","Austria",43048.5,253.15,26250.7,2010,16
"16270","Malta",600.4,7.37,295.2,2002,8
"16271","Slovakia",15485.3,103.02,9252.1,2019,25
"16272","Finland",29801,153.3,18474,2013,19
"16273","Netherlands",72726,401,47889,2003,9
"16274","Latvia",5103.8,55.47,3860.7,2013,19
"16275","Malta",718.5,8.44,481.5,2007,13
"16276","Italy",252295.2,1150.3,172003.5,2010,16
"16277","Poland",85709,608.1,43380,1997,3
"16278","Denmark",232920.1,177.57,149282.7,2006,12
"16279","France",236536.9,1443.5,151683.2,2005,11
"16280","Estonia",595.4,36.47,399.9,1996,2
"16281","Denmark",186073.7,154.29,115996.8,2004,10
"16282","Austria",43933.1,257.31,27164.5,2011,17
"16283","Malta",632.7,7.35,290.7,2003,9
"16284","Hungary",3044671,234.33,1883595,2014,20
"16285","Malta",478.1,7.42,237.3,2001,7
"16286","Italy",231202.7,1084.5,156610.4,2004,10
"16287","Belgium",37937,192.6,25567.2,2003,9
"16288","France",160957.5,1219.9,102443.7,1999,5
"16289","Sweden",169157,173,96021,1996,2
"16290","Hungary",1787002,205.15,1067163,2001,7
"16291","Slovakia",8293.2,99.14,5242,2005,11
"16292","Denmark",191021.8,148.46,121037.3,2010,16
"16293","Japan",58306004,4098572.75,32955342,2013,19
"16294","Bulgaria",15143,148.27,11913.4,2014,20
"16295","Belgium",78649.4,211.6,56882,2018,24
"16296","Slovenia",8725.9,68.96,6309.2,2007,13
"16297","Sweden",415721,271,229613,2011,17
"16298","Romania",122418.3,480.3,80219.5,2015,21
"16299","Finland",10736,98.3,6581,1995,1
"16300","Hungary",2137823,210.95,1262764,2002,8
"16301","Estonia",1459.3,36.73,944.7,2003,9
"16302","Lithuania",2125.3,99.22,1087.7,2003,9
"16303","Netherlands",83868,383,55562,2006,12
"16304","Denmark",206782.2,149.1,132039.5,2011,17
"16305","Slovakia",15501.3,101.77,8905.8,2020,26
"16306","Finland",28910,149.8,17825,2014,20
"16307","Latvia",5234.4,56.99,3938.9,2014,20
"16308","Malta",781.9,8.68,523.9,2008,14
"16309","Italy",254560.7,1112.3,173027.2,2011,17
"16310","Poland",108046,686,55035,1998,4
"16311","Denmark",240738.8,183.97,155231.8,2007,13
"16312","France",260577.2,1501.2,167477.3,2006,12
"16313","Estonia",731.9,39.59,492.4,1997,3
"16314","Austria",45988.2,260.68,28516.5,2012,18
"16315","Luxembourg",6417.2,40.28,3939.8,2014,20
"16316","Hungary",3222936,230.34,1981008,2015,21
"16317","Poland",363097,900.5,221453,2015,21
"16318","Italy",247341.9,1145,168318.5,2005,11
"16319","Belgium",40804.6,192.3,27677.7,2004,10
"16320","France",179921,1277.8,116614,2000,6
"16321","Lithuania",4547.1,87.12,2082.3,2014,20
"16322","Finland",21790,138,13461,2004,10
"16323","Slovakia",13564.7,108.59,7659.6,2008,14
"16324","Lithuania",3459.3,79.93,1597.8,2012,18
"16325","Bulgaria",151.1,152.26,87.2,1996,2
"16326","Japan",62981391,4086858.625,33699893,2016,22
"16327","Hungary",2892166,243.92,1801741,2009,15
"16328","Slovakia",10111.4,103.02,6228.3,2006,12
"16329","Belgium",89874.1,217.8,65475.1,2021,27
"16330","Japan",59448138,4152138.125,33031258,2014,20
"16331","Hungary",2816377,266.9,1729388,2007,13
"16332","Bulgaria",17957.1,150.47,14580.3,2015,21
"16333","Belgium",83632.5,212.4,61004.5,2019,25
"16334","Slovenia",9824.9,78.23,7103.2,2008,14
"16335","Sweden",434220,278,242223,2012,18
"16336","Romania",125352.2,504.7,79997.9,2016,22
"16337","Finland",11755,102.8,7097,1996,2
"16338","Hungary",2224615,244.02,1331077,2003,9
"16339","Estonia",1759.4,38.98,1155,2004,10
"16340","Lithuania",2445.3,103.15,1249.7,2004,10
"16341","Netherlands",91796,388,60983,2007,13
"16342","Denmark",208945.4,147.63,133485.8,2012,18
"16343","Slovakia",16987.3,100.98,9794.1,2021,27
"16344","Finland",29602,156.1,18130,2015,21
"16345","Latvia",5032.1,55.22,3723,2015,21
"16346","Malta",794.5,8.39,544.2,2009,15
"16347","Italy",226024.2,1045.8,150514.6,2012,18
"16348","Poland",121438,661.5,65031,1999,5
"16349","Denmark",243230.2,183.08,148960.5,2008,14
"16350","France",284517.7,1568.6,181109.2,2007,13
"16351","Estonia",943.3,40.8,629.1,1998,4
"16352","Austria",46490.6,256.64,28409.7,2013,19
"16353","Luxembourg",6732.2,40.97,4147.7,2015,21
"16354","Hungary",2928125,247.78,1828684,2016,22
"16355","Poland",358124,882.3,226196,2016,22
"16356","Italy",259286,1176,176538.1,2006,12
"16357","Belgium",42874.9,195.6,29232.6,2005,11
"16358","France",188656.8,1319.2,121176.7,2001,7
"16359","Lithuania",4490.9,90.69,1976,2015,21
"16360","Finland",23999,145.5,14743,2005,11
"16361","Slovakia",13108,104.51,7316.3,2009,15
"16362","Lithuania",3896,86.1,1777,2013,19
"16363","Bulgaria",1137.9,130.82,655.9,1997,3
"16364","Japan",65040413,4128803,34917483,2017,23
"16365","Hungary",2522337,222.85,1556564,2010,16
"16366","Slovakia",10661.9,104.21,6173.2,2007,13
"16367","Bulgaria",96.5,171.38,56.2,1995,1
"16368","Japan",60891302,4118780.5,32996634,2015,21
